trade_id,symbol,entry_time,exit_time,qty,entry_price,exit_price,pnl,return_pct,holding_days,entry_strategy_id,entry_strategy_version_id,entry_signal_strength,entry_confidence,entry_reason,entry_price_source,exit_reason,exit_strategy_id,exit_trigger,market_regime,outcome_label
broker_match_0004_AMD,AMD,2026-05-12T13:33:00.678535Z,2026-05-12T14:06:54.325748Z,254,449.32,450.5,300.24,0.0026,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (26.68%) indicates breakout (intraday weak: smoothed=0.11%),,broker_fill,broker_reconstructed,,bullish,neutral
broker_match_0105_MRVL,MRVL,2026-05-12T13:33:23.672849Z,2026-05-12T14:06:59.050415Z,424,165.14,165.75,260.64,0.0037,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,1.0,0.85,"Strong bullish momentum (46.19%) indicates breakout + Intraday confirmed (smoothed=1.62%, VWAP=neutral)",,broker_fill,broker_reconstructed,,bullish,neutral
broker_match_0153_QTUM,QTUM,2026-05-12T14:07:02.645133Z,2026-05-12T14:51:30.34367Z,663,144.77,142.75,-1339.26,-0.014,0,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,neutral
broker_match_0154_QTUM,QTUM,2026-05-12T14:07:02.645133Z,2026-05-13T13:31:01.335056Z,7,144.77,145.01,1.68,0.0017,0,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,neutral
broker_match_0141_PTF,PTF,2026-05-12T14:07:06.087476Z,2026-05-12T14:51:25.587435Z,789,121.83,119.18,-2090.85,-0.0218,0,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,neutral
broker_match_0142_PTF,PTF,2026-05-12T14:07:06.087476Z,2026-05-13T13:33:47.184434Z,8,121.83,122.01,1.45,0.0015,0,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,neutral
broker_match_0133_PSCT,PSCT,2026-05-12T14:23:06.958868Z,2026-05-12T14:51:23.526297Z,610,78.7,77.16,-939.4,-0.0196,0,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,neutral
broker_match_0134_PSCT,PSCT,2026-05-12T14:23:06.958868Z,2026-05-13T13:32:25.149285Z,595,78.7,78.57,-77.56,-0.0017,0,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,neutral
broker_match_0163_SHOC,SHOC,2026-05-12T14:23:11.712563Z,2026-05-12T14:51:34.532704Z,943,106.0,104.17,-1725.69,-0.0173,0,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,neutral
broker_match_0164_SHOC,SHOC,2026-05-12T14:23:11.712563Z,2026-05-13T13:32:36.090481Z,10,106.0,106.99,9.9,0.0093,0,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,neutral
