trade_id,symbol,entry_time,exit_time,hd_actual,exit_reason,pnl,also_quarantined
broker_match_0001_ADBE,ADBE,2026-07-07T19:55:50,2026-06-03T17:01:33,-34.121,stop_loss,3289.53,True
broker_match_0002_AMAT,AMAT,2026-06-04T14:02:37,2026-06-01T17:04:12,-2.8739,time_based,-3431.98,True
broker_match_0003_AMAT,AMAT,2026-06-09T19:55:56,2026-06-01T17:04:12,-8.1193,time_based,-1120.34,True
broker_match_0004_AMAT,AMAT,2026-06-09T19:55:56,2026-06-08T13:38:42,-1.262,breakeven_stop,-1066.0,True
broker_match_0005_AMAT,AMAT,2026-06-25T16:00:53,2026-06-08T13:38:42,-17.0987,breakeven_stop,-7273.75,True
broker_match_0006_AMAT,AMAT,2026-06-29T13:37:42,2026-06-08T13:38:42,-20.9993,breakeven_stop,-2871.74,True
broker_match_0007_AMAT,AMAT,2026-06-29T13:37:42,2026-06-25T13:36:36,-4.0008,trailing_stop,-601.56,True
broker_match_0008_AMAT,AMAT,2026-07-01T16:01:10,2026-06-25T13:36:36,-6.1004,trailing_stop,-1576.32,True
broker_match_0021_ANET,ANET,2026-06-04T14:02:50,2026-06-01T17:04:17,-2.874,time_based,3956.08,True
broker_match_0022_ANET,ANET,2026-06-09T19:56:09,2026-06-01T17:04:17,-8.1194,time_based,801.68,True
broker_match_0023_ANET,ANET,2026-06-09T19:56:09,2026-06-08T13:33:12,-1.2659,breakeven_stop,964.71,True
broker_match_0024_ANET,ANET,2026-06-25T16:00:50,2026-06-08T13:33:12,-17.1025,breakeven_stop,-1430.13,True
broker_match_0025_ANET,ANET,2026-06-25T16:00:50,2026-06-25T13:37:11,-0.0998,trailing_stop,-84.56,True
broker_match_0026_ANET,ANET,2026-07-13T13:37:09,2026-06-25T13:37:11,-18.0,trailing_stop,-3589.92,False
broker_match_0040_CDNS,CDNS,2026-06-09T19:56:08,2026-06-08T13:33:42,-1.2656,stop_loss,-358.74,False
broker_match_0086_GTOP,GTOP,2026-05-13T17:49:58,2026-05-13T14:45:57,-0.1278,stop_loss,-509.28,False
broker_match_0087_GTOP,GTOP,2026-05-14T14:31:38,2026-05-13T14:45:57,-0.9901,stop_loss,-342.4,False
broker_match_0088_GTOP,GTOP,2026-05-14T14:31:38,2026-05-14T13:32:53,-0.0408,stop_loss,-343.41,False
broker_match_0089_GTOP,GTOP,2026-05-14T17:24:06,2026-05-14T13:32:53,-0.1606,stop_loss,-111.47,False
broker_match_0090_GTOP,GTOP,2026-05-14T17:24:06,2026-05-14T15:14:07,-0.0903,time_based,102.37,False
broker_match_0091_GTOP,GTOP,2026-05-15T14:14:46,2026-05-14T15:14:07,-0.9588,stop_loss,0.92,False
broker_match_0092_GTOP,GTOP,2026-05-15T14:14:46,2026-05-15T13:33:36,-0.0286,stop_loss,-337.52,False
broker_match_0116_KLAC,KLAC,2026-06-29T13:37:00,2026-06-26T13:35:23,-3.0011,trailing_stop,-1173.42,True
broker_match_0117_KLAC,KLAC,2026-07-01T16:01:15,2026-06-26T13:35:23,-5.1013,trailing_stop,-1583.49,True
