decision_id,symbol,action,decision_time,run_id,experiment_id,config_hash,prompt_version,signal_strength,model,input_tokens,output_tokens,outcome_resolved,file
adec699a-09aa-8c0f-2b30-39541229af42,ADBE,buy,,,,,,1.0,rule_based:breakout_momentum_v1,250,20,False,decision_ADBE_20260601_230004.json
6c07cbe4-788e-aed8-c955-0133bed3859c,ADBE,buy,,,,,,1.0,rule_based:breakout_momentum_v1,250,20,False,decision_ADBE_20260602_020004.json
6537de69-7bbf-4508-15a1-921351159e8f,ADBE,buy,,,,,,1.0,rule_based:breakout_momentum_v1,245,20,False,decision_ADBE_20260602_055503.json
1f644ef2-8593-3808-7621-c9a6c7eb6089,ADBE,buy,,,,,,1.0,rule_based:breakout_momentum_v1,250,20,False,decision_ADBE_20260602_230004.json
2a6681c2-7003-d6c8-67a0-4377b0f3e68c,ADBE,sell,,,,,,1.0,rule_based:simple_exit_v2,232,20,False,decision_ADBE_20260604_020004.json
82d7be16-8cda-2bd0-4a19-2aa3ee581a82,ADBE,buy,,,,,,0.8113581705413282,rule_based:breakout_momentum_v1,247,27,False,decision_ADBE_20260604_055503.json
7d0ce001-b3e4-9061-08b9-d33483da3971,ADBE,buy,,,,,,0.6619547657512121,rule_based:breakout_momentum_v1,248,27,False,decision_ADBE_20260604_230003.json
c30c8492-7fde-80bf-c9a7-8dd5c6a2dbe7,ADBE,buy,,,,,,0.5550743835337271,rule_based:breakout_momentum_v1,134,27,False,decision_ADBE_20260707_222503.json
8724ffd0-b3f7-ba98-6e8d-77912e2ee328,ADBE,buy,,,,,,0.6683054819645401,rule_based:breakout_momentum_v1,135,27,False,decision_ADBE_20260707_223503.json
4930e426-fe2e-7eb8-50bb-6c9f8202feec,ADBE,buy,,,,,,0.6577338496026083,rule_based:breakout_momentum_v1,338,27,False,decision_ADBE_20260708_045508.json
cd0c8d80-523d-c40c-3b07-0fa5268213c4,ADBE,buy,,,,,,0.6257686001229763,rule_based:breakout_momentum_v1,331,27,False,decision_ADBE_20260708_223504.json
79b36d38-bf47-13ce-d719-4a98bbcef4c7,ADBE,buy,,,,,,0.6294835007173599,rule_based:breakout_momentum_v1,329,27,False,decision_ADBE_20260709_010004.json
9004f92d-4520-ffd3-cc81-765faf3e552f,ADBE,buy,,,,,,0.7899672063947526,rule_based:breakout_momentum_v1_intraday_enhanced,343,27,False,decision_ADBE_20260709_045503.json
0dc0425b-aaab-dabb-39ad-e2f67c6de9e1,ADBE,buy,,,,,,0.5587480759363775,rule_based:breakout_momentum_v1,328,27,False,decision_ADBE_20260709_223503.json
afb9c00a-f6ba-a1fa-905a-5099f2d891e1,ADBE,buy,,,,,,0.668676244227809,rule_based:breakout_momentum_v1,331,27,False,decision_ADBE_20260710_010006.json
b3db4581-c3b0-fe5b-1c17-b63defe0910b,ADBE,buy,,,,,,0.7057465366854795,rule_based:breakout_momentum_v1,338,27,False,decision_ADBE_20260710_045503.json
37563dc8-972e-8fdc-2f0f-0e44ca1d1d6e,ADBE,buy,,,,,,0.7916880451513593,rule_based:breakout_momentum_v1,331,27,False,decision_ADBE_20260710_223506.json
8ad0f07f-3040-4c02-6411-55cec897dc53,ADBE,buy,,,,,breakout_momentum_v2_threshold_tuned,0.7683736007698933,breakout_momentum_v1,134,27,False,decision_ADBE_20260713_223503.json
86f0946e-1363-d2d7-f22b-8f1895869579,ADBE,buy,,,,,breakout_momentum_v2_threshold_tuned,1.0,breakout_momentum_v1_intraday_enhanced,147,23,False,decision_ADBE_20260714_045503.json
14091731-1ff9-9f92-d2b9-5442dc8969a3,ADBE,buy,,,,,breakout_momentum_v2_threshold_tuned,0.5733326550338307,breakout_momentum_v1,134,27,False,decision_ADBE_20260714_223503.json
9b2a2b94-e976-64b1-c5b6-3f5f77314efb,ADBE,buy,,,,,breakout_momentum_v2_threshold_tuned,0.8396670285921098,breakout_momentum_v1,134,27,False,decision_ADBE_20260715_223505.json
5eceb00d-9ed0-49bd-21fb-965d608b6a60,ADBE,buy,,,,,breakout_momentum_v2_threshold_tuned,0.8400548058528515,breakout_momentum_v1,135,27,False,decision_ADBE_20260716_010004.json
0370da4d-aa0b-421e-ef24-b8b4cf2dbe70,ADBE,buy,,,,,breakout_momentum_v2_threshold_tuned,0.7988211571273462,breakout_momentum_v1,143,27,False,decision_ADBE_20260716_045503.json
845e2e24-b5d2-8550-5452-449a47ce831f,ADBE,buy,,,,,breakout_momentum_v2_threshold_tuned,0.575272529965965,breakout_momentum_v1,135,27,False,decision_ADBE_20260716_223504.json
fece11ae-159f-a2aa-9b63-dc0a89e64d64,ADBE,buy,,,,,breakout_momentum_v2_threshold_tuned,0.6190894292901894,breakout_momentum_v1,135,27,False,decision_ADBE_20260717_010004.json
59384c16-50c6-e46d-dbf6-ca62de864f24,ADBE,buy,,,,,breakout_momentum_v2_threshold_tuned,0.7985991219849066,breakout_momentum_v1,143,27,False,decision_ADBE_20260717_045503.json
926a0b27-6638-15a1-643b-b259d30c50b6,ADBE,buy,,,,,breakout_momentum_v2_threshold_tuned,0.7223998449837713,breakout_momentum_v1,134,27,False,decision_ADBE_20260717_223503.json
6efb100d-c1aa-561a-e7a3-4c874f8e3d73,ADBE,buy,,,,,breakout_momentum_v2_threshold_tuned,0.5948200175592622,breakout_momentum_v1,135,27,False,decision_ADBE_20260720_223503.json
1f829637-e04c-cb26-6813-38993d437d1d,ADBE,buy,,,,,breakout_momentum_v2_threshold_tuned,0.8838162130523847,breakout_momentum_v1_intraday_enhanced,147,27,False,decision_ADBE_20260721_045503.json
098c9129-7480-54ca-8830-4e35ad3dc687,ADBE,deny,,,,,breakout_momentum_v2_threshold_tuned,0.4435254526495403,breakout_momentum_v1,144,37,False,decision_ADBE_20260721_223504.json
8acbaaae-dd2e-0e95-3607-2a8e231000b8,ADBE,deny,,,,,breakout_momentum_v2_threshold_tuned,0.4038297468954408,breakout_momentum_v1,144,37,False,decision_ADBE_20260722_010004.json
f15cd31d-795a-0ed0-5c42-1219996f5c62,ADBE,sell,,,,,simple_exit_v2,0.95,simple_exit_v2,124,20,False,decision_ADBE_20260723_223504.json
3fd1e2a4-7721-78dc-6b25-1c7f5bc83bfe,ADBE,buy,,,,,breakout_momentum_v2_threshold_tuned,0.5564859237802119,breakout_momentum_v1,135,27,False,decision_ADBE_20260728_223503.json
3b2000fd-7c04-4ce4-af34-21a7615a66e1,AMAT,buy,,,,,,1.0,rule_based:breakout_momentum_v1,254,20,False,decision_AMAT_20260513_230358.json
9d15effe-abb3-eebc-5052-d8d0d20e1a53,AMAT,buy,,,,,,1.0,rule_based:breakout_momentum_v1,254,20,False,decision_AMAT_20260513_234538.json
40a67218-cc1e-3390-c1ce-01246e9affb1,AMAT,buy,,,,,,1.0,rule_based:breakout_momentum_v1,254,20,False,decision_AMAT_20260514_021355.json
f573ef9d-5b31-80df-ece0-9aee96e7e6b9,AMAT,buy,,,,,,1.0,rule_based:breakout_momentum_v1,254,20,False,decision_AMAT_20260514_231526.json
52063212-465e-91a9-73df-7adcd76b9f82,AMAT,buy,,,,,,0.6356674246582517,rule_based:breakout_momentum_v1,257,27,False,decision_AMAT_20260520_060617.json
b13d8559-3c52-f4c5-6d9f-e3ea8daabee9,AMAT,buy,,,,,,0.6199143197546194,rule_based:breakout_momentum_v1,251,27,False,decision_AMAT_20260520_230019.json
e79d60db-3c67-14ee-e5cf-8670b18df392,AMAT,buy,,,,,,0.5858196658977417,rule_based:breakout_momentum_v1,251,27,False,decision_AMAT_20260520_230519.json
ab204afc-ca2a-958a-9374-dd9fbac2d776,AMAT,buy,,,,,,0.7478009581991938,rule_based:breakout_momentum_v1,251,27,False,decision_AMAT_20260521_020019.json
9296dbda-2dff-cb55-0e19-f213e23e09c6,AMAT,buy,,,,,,0.8202996273669805,rule_based:breakout_momentum_v1,251,27,False,decision_AMAT_20260521_055519.json
0c103910-994a-e02b-6bf4-032f0cc80431,AMAT,buy,,,,,,1.0,rule_based:breakout_momentum_v1,247,20,False,decision_AMAT_20260521_230021.json
71cc7dba-83dc-60b3-ce04-94631f974492,AMAT,buy,,,,,,1.0,rule_based:breakout_momentum_v1,248,20,False,decision_AMAT_20260521_230641.json
87cf105a-d512-1cf3-faa5-b9c84a7463af,AMAT,buy,,,,,,0.9023851136013162,rule_based:breakout_momentum_v1,244,27,False,decision_AMAT_20260522_020019.json
