trade_id,symbol,asset_class,entry_time,exit_time,holding_days,quantity,entry_price,exit_price,realized_pnl,quarantine_reason,exit_reason
broker_match_0001_ADBE,ADBE,stock,2026-07-07T19:55:50.333281Z,2026-06-03T17:01:33.583514Z,-34.121,,221.62,256.25,,migrate_quarantine_invalid_trades: entry_time=2026-07-07T19:55:50 exit_time=2026-06-03T17:01:33 holding_days=-34.1210,broker_fill
broker_match_0002_AMAT,AMAT,stock,2026-06-04T14:02:37.019727Z,2026-06-01T17:04:12.348044Z,-2.8739,,486.32,459.3,,migrate_quarantine_invalid_trades: entry_time=2026-06-04T14:02:37 exit_time=2026-06-01T17:04:12 holding_days=-2.8739,broker_fill
broker_match_0003_AMAT,AMAT,stock,2026-06-09T19:55:56.807044Z,2026-06-01T17:04:12.348044Z,-8.1193,,495.44,459.3,,migrate_quarantine_invalid_trades: entry_time=2026-06-09T19:55:56 exit_time=2026-06-01T17:04:12 holding_days=-8.1193,broker_fill
broker_match_0004_AMAT,AMAT,stock,2026-06-09T19:55:56.807044Z,2026-06-08T13:38:42.229052Z,-1.262,,495.44,478.52,,migrate_quarantine_invalid_trades: entry_time=2026-06-09T19:55:56 exit_time=2026-06-08T13:38:42 holding_days=-1.2620,broker_fill
broker_match_0005_AMAT,AMAT,stock,2026-06-25T16:00:53.399178Z,2026-06-08T13:38:42.229052Z,-17.0987,,633.28,478.52,,migrate_quarantine_invalid_trades: entry_time=2026-06-25T16:00:53 exit_time=2026-06-08T13:38:42 holding_days=-17.0987,broker_fill
broker_match_0006_AMAT,AMAT,stock,2026-06-29T13:37:42.522784Z,2026-06-08T13:38:42.229052Z,-20.9993,,647.45,478.52,,migrate_quarantine_invalid_trades: entry_time=2026-06-29T13:37:42 exit_time=2026-06-08T13:38:42 holding_days=-20.9993,broker_fill
broker_match_0007_AMAT,AMAT,stock,2026-06-29T13:37:42.522784Z,2026-06-25T13:36:36.16662Z,-4.0008,,647.45,628.04,,migrate_quarantine_invalid_trades: entry_time=2026-06-29T13:37:42 exit_time=2026-06-25T13:36:36 holding_days=-4.0008,broker_fill
broker_match_0008_AMAT,AMAT,stock,2026-07-01T16:01:10.477411Z,2026-06-25T13:36:36.16662Z,-6.1004,,660.88,628.04,,migrate_quarantine_invalid_trades: entry_time=2026-07-01T16:01:10 exit_time=2026-06-25T13:36:36 holding_days=-6.1004,broker_fill
broker_match_0018_AMZN,AMZN,stock,2026-05-13T15:02:40.223727Z,2026-05-13T13:30:06.303649Z,-0.0643,,265.27,264.82,,migrate_quarantine_invalid_trades: entry_time=2026-05-13T15:02:40 exit_time=2026-05-13T13:30:06 holding_days=-0.0643,broker_fill
broker_match_0019_AMZN,AMZN,stock,2026-05-14T15:30:59.845589Z,2026-05-13T13:30:06.303649Z,-1.084,,267.73,264.82,,migrate_quarantine_invalid_trades: entry_time=2026-05-14T15:30:59 exit_time=2026-05-13T13:30:06 holding_days=-1.0840,broker_fill
