cumulative_closed_trades,cumulative_profit_factor,cumulative_win_rate,date,equity,loss_count,orders_submitted,realized_pnl,signals_generated,total_pnl,trade_count,unrealized_pnl,win_count
85,0.5031,0.4706,2026-05-27,1050494.54,3,5,393.42,43,393.42,7,0.0,4
85,0.5031,0.4706,2026-05-27,1057869.69,4,20,1402.92,43,1402.92,17,0.0,13
85,0.5031,0.4706,2026-05-27,1058182.98,0,3,0,49,0.0,0,0.0,0
87,0.5021,0.4598,2026-05-28,1034260.89,0,0,0,0,59108.83,0,59108.83,0
87,0.5021,0.4598,2026-05-28,1048501.32,0,1,0,31,0.0,0,0.0,0
87,0.5021,0.4598,2026-05-28,1048891.42,1,1,-79.16,32,-79.16,1,0.0,0
90,0.54,0.4778,2026-05-29,1029016.09,0,0,0,0,53429.42,0,53429.42,0
90,0.54,0.4778,2026-05-29,1079132.66,0,1,0,38,0.0,0,0.0,0
90,0.54,0.4778,2026-05-30,1081334.39,0,0,0,0,103893.56,0,103893.56,0
102,1.0293,0.5,2026-06-01,1081259.54,0,5,0,51,0.0,0,0.0,0
102,1.0293,0.5,2026-06-01,1104935.52,5,2,5773.61,54,5773.61,11,0.0,6
102,1.0293,0.5,2026-06-01,1109342.02,5,23,23960.41,51,23960.41,14,0.0,9
110,1.271,0.5273,2026-06-02,1067462.22,0,0,0,0,43749.18,0,43749.18,0
110,1.271,0.5273,2026-06-02,1069665.11,0,0,0,0,68222.22,0,68222.22,0
110,1.271,0.5273,2026-06-02,1116341.36,0,5,0,57,0.0,0,0.0,0
119,1.3576,0.5294,2026-06-03,1092538.45,0,0,0,0,79089.66,0,79089.66,0
119,1.3576,0.5294,2026-06-03,1111032.51,6,28,19528.59,49,19528.59,26,0.0,20
119,1.3576,0.5294,2026-06-03,1120170.7,0,8,0,57,0.0,0,0.0,0
144,2.8377,0.6042,2026-06-04,1076629.35,1,9,16479.02,28,16479.02,13,0.0,12
144,2.8377,0.6042,2026-06-04,1082057.56,0,42,1304.82,59,1304.82,1,0.0,1
144,2.8377,0.6042,2026-06-04,1084290.42,0,0,1304.82,0,70440.54,1,69135.72,1
144,2.8377,0.6042,2026-06-04,1089410.74,0,0,2086.74,0,116025.24,2,113938.5,2
144,2.8377,0.6042,2026-06-04,1096799.86,1,1,104215.94,21,104215.94,67,0.0,66
144,2.8377,0.6042,2026-06-04,1101047.76,1,5,77238.28,25,77238.28,48,0.0,47
144,2.8377,0.6042,2026-06-05,1085529.68,0,0,0,0,294360.75,0,294360.75,0
144,2.8377,0.6042,2026-06-07,994196.72,0,26,0,42,0.0,0,0.0,0
144,2.8377,0.6042,2026-06-07,994196.72,0,0,0,0,-86770.04,0,-86770.04,0
144,2.8377,0.6042,2026-06-07,994196.72,0,0,0,42,0.0,0,0.0,0
180,1.1893,0.5222,2026-06-09,1009072.11,5,2,-13608.99,19,-13608.99,6,0.0,1
180,1.1893,0.5222,2026-06-09,1009075.85,7,20,-18601.99,22,-18601.99,8,0.0,1
180,1.1893,0.5222,2026-06-09,1010960.95,0,5,0,39,0.0,0,0.0,0
180,1.1893,0.5222,2026-06-09,1015837.53,0,0,0,0,-16856.53,0,-16856.53,0
182,1.155,0.5165,2026-06-10,1001045.16,0,2,0,19,0.0,0,0.0,0
182,1.155,0.5165,2026-06-10,1006989.31,0,0,0,0,106318.09,0,106318.09,0
183,1.1145,0.5137,2026-06-11,983247.48,0,0,0,0,69462.49,0,69462.49,0
183,1.1145,0.5137,2026-06-11,1002776.42,0,1,0,12,0.0,0,0.0,0
184,1.1208,0.5163,2026-06-12,990836.39,0,1,0,18,0.0,0,0.0,0
184,1.1208,0.5163,2026-06-12,1037468.3,0,0,0,0,127192.05,0,127192.05,0
184,1.1208,0.5163,2026-06-13,992854.63,0,0,0,0,31648.72,0,31648.72,0
184,1.1208,0.5163,2026-06-15,1065862.26,0,0,0,0,49493.63,0,49493.63,0
184,1.1208,0.5163,2026-06-16,1049813.86,0,0,0,0,33445.23,0,33445.23,0
184,1.1208,0.5163,2026-06-17,1057041.27,0,0,0,0,40672.64,0,40672.64,0
184,1.1208,0.5163,2026-06-18,1070369.95,0,0,0,0,54001.32,0,54001.32,0
190,1.1843,0.5158,2026-06-22,1022107.73,0,3,0,15,0.0,0,0.0,0
190,1.1843,0.5158,2026-06-22,1017948.33,2,2,-4433.31,13,-4433.31,2,0.0,0
190,1.1843,0.5158,2026-06-22,1023149.27,2,1,3770.07,12,3770.07,4,0.0,2
192,1.1837,0.5156,2026-06-23,1024532.71,0,0,0,0,53516.22,0,53516.22,0
192,1.1837,0.5156,2026-06-23,998631.81,0,4,0,5,0.0,0,0.0,0
192,1.1837,0.5156,2026-06-23,1001494.91,0,5,0,7,0.0,0,0.0,0
192,1.1837,0.5156,2026-06-23,1000873.31,1,2,-51263.74,7,-51263.74,1,0.0,0
195,1.1798,0.5077,2026-06-24,1002239.6,0,0,0,0,59630.55,0,59630.55,0
195,1.1798,0.5077,2026-06-24,1001897.79,0,2,0,6,0.0,0,0.0,0
195,1.1798,0.5077,2026-06-24,996363.22,0,1,0,6,0.0,0,0.0,0
195,1.1798,0.5077,2026-06-24,992429.23,1,1,-123.42,5,-123.42,1,0.0,0
218,1.4937,0.5459,2026-06-25,1028250.72,0,0,0,0,60150.5,0,60150.5,0
218,1.4937,0.5459,2026-06-25,1022793.82,0,23,0,35,0.0,0,0.0,0
218,1.4937,0.5459,2026-06-25,1008958.8,2,12,39990.09,20,39990.09,16,0.0,14
218,1.4937,0.5459,2026-06-25,1013874.8,3,3,43872.32,21,43872.32,19,0.0,16
219,1.4866,0.5434,2026-06-26,1014531.61,0,0,0,0,-10318.51,0,-10318.51,0
219,1.4866,0.5434,2026-06-26,1036065.83,0,1,0,10,0.0,0,0.0,0
219,1.4866,0.5434,2026-06-27,1039380.73,0,0,0,0,-31474.6,0,-31474.6,0
220,1.4615,0.5409,2026-06-29,1049784.79,0,7,0,13,0.0,0,0.0,0
221,1.4857,0.543,2026-06-30,1077300.49,0,0,0,0,5355.14,0,5355.14,0
221,1.4857,0.543,2026-06-30,1085469.05,0,1,0,35,0.0,0,0.0,0
228,1.5371,0.5526,2026-07-01,1110659.21,0,0,0,0,38208.02,0,38208.02,0
228,1.5371,0.5526,2026-07-01,1073881.54,0,6,0,19,0.0,0,0.0,0
228,1.5371,0.5526,2026-07-01,1073371.64,0,15,8086.04,20,8086.04,6,0.0,6
235,1.3131,0.5362,2026-07-02,1058268.65,0,0,0,0,-21874.59,0,-21874.59,0
