decision_id,symbol,timestamp,model,input_tokens,output_tokens,token_estimated,action,run_id,prompt_version,latency_ms
adec699a-09aa-8c0f-2b30-39541229af42,ADBE,,rule_based:breakout_momentum_v1,250,20,False,buy,,,
6c07cbe4-788e-aed8-c955-0133bed3859c,ADBE,,rule_based:breakout_momentum_v1,250,20,False,buy,,,
6537de69-7bbf-4508-15a1-921351159e8f,ADBE,,rule_based:breakout_momentum_v1,245,20,False,buy,,,
1f644ef2-8593-3808-7621-c9a6c7eb6089,ADBE,,rule_based:breakout_momentum_v1,250,20,False,buy,,,
2a6681c2-7003-d6c8-67a0-4377b0f3e68c,ADBE,,rule_based:simple_exit_v2,232,20,False,sell,,,
82d7be16-8cda-2bd0-4a19-2aa3ee581a82,ADBE,,rule_based:breakout_momentum_v1,247,27,False,buy,,,
7d0ce001-b3e4-9061-08b9-d33483da3971,ADBE,,rule_based:breakout_momentum_v1,248,27,False,buy,,,
c30c8492-7fde-80bf-c9a7-8dd5c6a2dbe7,ADBE,,rule_based:breakout_momentum_v1,134,27,False,buy,,,
8724ffd0-b3f7-ba98-6e8d-77912e2ee328,ADBE,,rule_based:breakout_momentum_v1,135,27,False,buy,,,
4930e426-fe2e-7eb8-50bb-6c9f8202feec,ADBE,,rule_based:breakout_momentum_v1,338,27,False,buy,,,
cd0c8d80-523d-c40c-3b07-0fa5268213c4,ADBE,,rule_based:breakout_momentum_v1,331,27,False,buy,,,
79b36d38-bf47-13ce-d719-4a98bbcef4c7,ADBE,,rule_based:breakout_momentum_v1,329,27,False,buy,,,
9004f92d-4520-ffd3-cc81-765faf3e552f,ADBE,,rule_based:breakout_momentum_v1_intraday_enhanced,343,27,False,buy,,,
0dc0425b-aaab-dabb-39ad-e2f67c6de9e1,ADBE,,rule_based:breakout_momentum_v1,328,27,False,buy,,,
afb9c00a-f6ba-a1fa-905a-5099f2d891e1,ADBE,,rule_based:breakout_momentum_v1,331,27,False,buy,,,
b3db4581-c3b0-fe5b-1c17-b63defe0910b,ADBE,,rule_based:breakout_momentum_v1,338,27,False,buy,,,
37563dc8-972e-8fdc-2f0f-0e44ca1d1d6e,ADBE,,rule_based:breakout_momentum_v1,331,27,False,buy,,,
8ad0f07f-3040-4c02-6411-55cec897dc53,ADBE,,breakout_momentum_v1,134,27,False,buy,,breakout_momentum_v2_threshold_tuned,
86f0946e-1363-d2d7-f22b-8f1895869579,ADBE,,breakout_momentum_v1_intraday_enhanced,147,23,False,buy,,breakout_momentum_v2_threshold_tuned,
14091731-1ff9-9f92-d2b9-5442dc8969a3,ADBE,,breakout_momentum_v1,134,27,False,buy,,breakout_momentum_v2_threshold_tuned,
9b2a2b94-e976-64b1-c5b6-3f5f77314efb,ADBE,,breakout_momentum_v1,134,27,False,buy,,breakout_momentum_v2_threshold_tuned,
5eceb00d-9ed0-49bd-21fb-965d608b6a60,ADBE,,breakout_momentum_v1,135,27,False,buy,,breakout_momentum_v2_threshold_tuned,
0370da4d-aa0b-421e-ef24-b8b4cf2dbe70,ADBE,,breakout_momentum_v1,143,27,False,buy,,breakout_momentum_v2_threshold_tuned,
845e2e24-b5d2-8550-5452-449a47ce831f,ADBE,,breakout_momentum_v1,135,27,False,buy,,breakout_momentum_v2_threshold_tuned,
fece11ae-159f-a2aa-9b63-dc0a89e64d64,ADBE,,breakout_momentum_v1,135,27,False,buy,,breakout_momentum_v2_threshold_tuned,
59384c16-50c6-e46d-dbf6-ca62de864f24,ADBE,,breakout_momentum_v1,143,27,False,buy,,breakout_momentum_v2_threshold_tuned,
926a0b27-6638-15a1-643b-b259d30c50b6,ADBE,,breakout_momentum_v1,134,27,False,buy,,breakout_momentum_v2_threshold_tuned,
6efb100d-c1aa-561a-e7a3-4c874f8e3d73,ADBE,,breakout_momentum_v1,135,27,False,buy,,breakout_momentum_v2_threshold_tuned,
1f829637-e04c-cb26-6813-38993d437d1d,ADBE,,breakout_momentum_v1_intraday_enhanced,147,27,False,buy,,breakout_momentum_v2_threshold_tuned,
098c9129-7480-54ca-8830-4e35ad3dc687,ADBE,,breakout_momentum_v1,144,37,False,deny,,breakout_momentum_v2_threshold_tuned,
8acbaaae-dd2e-0e95-3607-2a8e231000b8,ADBE,,breakout_momentum_v1,144,37,False,deny,,breakout_momentum_v2_threshold_tuned,
f15cd31d-795a-0ed0-5c42-1219996f5c62,ADBE,,simple_exit_v2,124,20,False,sell,,simple_exit_v2,
3fd1e2a4-7721-78dc-6b25-1c7f5bc83bfe,ADBE,,breakout_momentum_v1,135,27,False,buy,,breakout_momentum_v2_threshold_tuned,
3b2000fd-7c04-4ce4-af34-21a7615a66e1,AMAT,,rule_based:breakout_momentum_v1,254,20,False,buy,,,
9d15effe-abb3-eebc-5052-d8d0d20e1a53,AMAT,,rule_based:breakout_momentum_v1,254,20,False,buy,,,
40a67218-cc1e-3390-c1ce-01246e9affb1,AMAT,,rule_based:breakout_momentum_v1,254,20,False,buy,,,
f573ef9d-5b31-80df-ece0-9aee96e7e6b9,AMAT,,rule_based:breakout_momentum_v1,254,20,False,buy,,,
52063212-465e-91a9-73df-7adcd76b9f82,AMAT,,rule_based:breakout_momentum_v1,257,27,False,buy,,,
b13d8559-3c52-f4c5-6d9f-e3ea8daabee9,AMAT,,rule_based:breakout_momentum_v1,251,27,False,buy,,,
e79d60db-3c67-14ee-e5cf-8670b18df392,AMAT,,rule_based:breakout_momentum_v1,251,27,False,buy,,,
ab204afc-ca2a-958a-9374-dd9fbac2d776,AMAT,,rule_based:breakout_momentum_v1,251,27,False,buy,,,
9296dbda-2dff-cb55-0e19-f213e23e09c6,AMAT,,rule_based:breakout_momentum_v1,251,27,False,buy,,,
0c103910-994a-e02b-6bf4-032f0cc80431,AMAT,,rule_based:breakout_momentum_v1,247,20,False,buy,,,
71cc7dba-83dc-60b3-ce04-94631f974492,AMAT,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
87cf105a-d512-1cf3-faa5-b9c84a7463af,AMAT,,rule_based:breakout_momentum_v1,244,27,False,buy,,,
5755986b-eefa-7718-7ae2-9ea8a1cb7aeb,AMAT,,rule_based:breakout_momentum_v1,251,27,False,buy,,,
9a71bd03-0ad2-1bee-056d-4896e7a32cea,AMAT,,rule_based:breakout_momentum_v1,243,20,False,buy,,,
6d04c7ba-8132-5b4e-7599-dd269da1b04d,AMAT,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
6f9a48c1-7623-8da9-9736-077d26e4128a,AMAT,,rule_based:breakout_momentum_v1,246,20,False,buy,,,
579a4811-78dd-6305-7b9e-650bb6184d88,AMAT,,rule_based:breakout_momentum_v1,251,27,False,buy,,,
a815d6e2-73aa-b134-0ee7-5d3cf23245f6,AMAT,,rule_based:breakout_momentum_v1,251,27,False,buy,,,
