trade_id,symbol,strategy_id,side,qty,entry_price,exit_price,entry_time,exit_time,pnl,return_pct,status,account_id,strategy_version_id,broker_order_id,exit_broker_order_id,original_strategy_id,exit_strategy_id,exit_reason,holding_days,quarantine_reason,asset_class,sector,original_trade_id,id_renamed_reason,entry_signal_strength
H_784b752b94dddfb1,ADBE,H_bc23eb78ddb781c6,buy,95,221.62,256.25,2026-07-07T19:55:50.333281Z,2026-06-03T17:01:33.583514Z,3289.53,0.1562,quarantined,H_ce15abda397cbf18,H_bc23eb78ddb781c6,H_7ab546cc44895542,H_ea46b9aea93ba5b3,H_bc23eb78ddb781c6,H_bc23eb78ddb781c6,broker_fill,-34.121,migrate_quarantine_invalid_trades: entry_time=2026-07-07T19:55:50 exit_time=2026-06-03T17:01:33 holding_days=-34.1210,stock,software,,,
H_d7d6b4ee5a8d18e4,AMAT,H_bc23eb78ddb781c6,buy,127,486.32,459.3,2026-06-04T14:02:37.019727Z,2026-06-01T17:04:12.348044Z,-3431.98,-0.0556,quarantined,H_ce15abda397cbf18,H_bc23eb78ddb781c6,H_e4f76213b58e4b24,H_c1c48318fbb95922,H_bc23eb78ddb781c6,H_bc23eb78ddb781c6,broker_fill,-2.8739,migrate_quarantine_invalid_trades: entry_time=2026-06-04T14:02:37 exit_time=2026-06-01T17:04:12 holding_days=-2.8739,stock,semis,,,
H_9ef648bd7439a020,AMAT,H_bc23eb78ddb781c6,buy,31,495.44,459.3,2026-06-09T19:55:56.807044Z,2026-06-01T17:04:12.348044Z,-1120.34,-0.0729,quarantined,H_ce15abda397cbf18,H_bc23eb78ddb781c6,H_aac8420ce25c998a,H_c1c48318fbb95922,H_bc23eb78ddb781c6,H_bc23eb78ddb781c6,broker_fill,-8.1193,migrate_quarantine_invalid_trades: entry_time=2026-06-09T19:55:56 exit_time=2026-06-01T17:04:12 holding_days=-8.1193,stock,semis,,,
H_c71c7df71120e585,AMAT,H_bc23eb78ddb781c6,buy,63,495.44,478.52,2026-06-09T19:55:56.807044Z,2026-06-08T13:38:42.229052Z,-1066.0,-0.0342,quarantined,H_ce15abda397cbf18,H_bc23eb78ddb781c6,H_aac8420ce25c998a,H_6a87b65416eb42ba,H_bc23eb78ddb781c6,H_bc23eb78ddb781c6,broker_fill,-1.262,migrate_quarantine_invalid_trades: entry_time=2026-06-09T19:55:56 exit_time=2026-06-08T13:38:42 holding_days=-1.2620,stock,semis,,,
H_8c64879bf0352786,AMAT,H_bc23eb78ddb781c6,buy,47,633.28,478.52,2026-06-25T16:00:53.399178Z,2026-06-08T13:38:42.229052Z,-7273.75,-0.2444,quarantined,H_ce15abda397cbf18,H_bc23eb78ddb781c6,H_7f8631d83641d5cc,H_6a87b65416eb42ba,H_bc23eb78ddb781c6,H_bc23eb78ddb781c6,broker_fill,-17.0987,migrate_quarantine_invalid_trades: entry_time=2026-06-25T16:00:53 exit_time=2026-06-08T13:38:42 holding_days=-17.0987,stock,semis,,,
H_4663c5cab79e10d5,AMAT,H_bc23eb78ddb781c6,buy,17,647.45,478.52,2026-06-29T13:37:42.522784Z,2026-06-08T13:38:42.229052Z,-2871.74,-0.2609,quarantined,H_ce15abda397cbf18,H_bc23eb78ddb781c6,H_99bcbcca086102c5,H_6a87b65416eb42ba,H_bc23eb78ddb781c6,H_bc23eb78ddb781c6,broker_fill,-20.9993,migrate_quarantine_invalid_trades: entry_time=2026-06-29T13:37:42 exit_time=2026-06-08T13:38:42 holding_days=-20.9993,stock,semis,,,
H_f3ad1c9eadd4ef75,AMAT,H_bc23eb78ddb781c6,buy,31,647.45,628.04,2026-06-29T13:37:42.522784Z,2026-06-25T13:36:36.16662Z,-601.56,-0.03,quarantined,H_ce15abda397cbf18,H_bc23eb78ddb781c6,H_99bcbcca086102c5,H_6b56d853e94b797c,H_bc23eb78ddb781c6,H_bc23eb78ddb781c6,broker_fill,-4.0008,migrate_quarantine_invalid_trades: entry_time=2026-06-29T13:37:42 exit_time=2026-06-25T13:36:36 holding_days=-4.0008,stock,semis,,,
H_80700c457e966d81,AMAT,H_bc23eb78ddb781c6,buy,48,660.88,628.04,2026-07-01T16:01:10.477411Z,2026-06-25T13:36:36.16662Z,-1576.32,-0.0497,quarantined,H_ce15abda397cbf18,H_bc23eb78ddb781c6,H_3cf753955eebab89,H_6b56d853e94b797c,H_bc23eb78ddb781c6,H_bc23eb78ddb781c6,broker_fill,-6.1004,migrate_quarantine_invalid_trades: entry_time=2026-07-01T16:01:10 exit_time=2026-06-25T13:36:36 holding_days=-6.1004,stock,semis,,,
H_6487ec7576053dba,AMZN,H_bc23eb78ddb781c6,buy,323,265.27,264.82,2026-05-13T15:02:40.223727Z,2026-05-13T13:30:06.303649Z,-145.35,-0.0017,quarantined,H_ce15abda397cbf18,H_bc23eb78ddb781c6,H_9715aad1eabcda06,H_8964091455d5481e,H_bc23eb78ddb781c6,H_bc23eb78ddb781c6,broker_fill,-0.0643,migrate_quarantine_invalid_trades: entry_time=2026-05-13T15:02:40 exit_time=2026-05-13T13:30:06 holding_days=-0.0643,stock,internet,H_36ae3d72a0983aef,"FIX-overlap: collided with valid closed trade_id, prefixed qinv_",
H_7ee47a8a9cca6f9c,AMZN,H_bc23eb78ddb781c6,buy,6,267.73,264.82,2026-05-14T15:30:59.845589Z,2026-05-13T13:30:06.303649Z,-17.46,-0.0109,quarantined,H_ce15abda397cbf18,H_bc23eb78ddb781c6,H_d9be00760bd50562,H_8964091455d5481e,H_bc23eb78ddb781c6,H_bc23eb78ddb781c6,broker_fill,-1.084,migrate_quarantine_invalid_trades: entry_time=2026-05-14T15:30:59 exit_time=2026-05-13T13:30:06 holding_days=-1.0840,stock,internet,H_7b8ce5666e7136cd,"FIX-overlap: collided with valid closed trade_id, prefixed qinv_",
