exit_broker_order_id,count,trade_ids
H_334187d9dd8e39c1,4,"['broker_match_0010_AMD', 'broker_match_0011_AMD', 'broker_match_0012_AMD', 'broker_match_0013_AMD']"
H_aeb389f1521fdd0f,2,"['broker_match_0019_AMZN', 'broker_match_0020_AMZN']"
H_003ce7fe01a7d467,2,"['broker_match_0030_ARM', 'broker_match_0031_ARM']"
H_63795d1835a41891,3,"['broker_match_0050_CRDO', 'broker_match_0051_CRDO', 'broker_match_0052_CRDO']"
H_16aa7dd55bb71202,2,"['broker_match_0062_CSCO', 'broker_match_0063_CSCO']"
H_f0c7a7735fe5fb91,2,"['broker_match_0071_DELL', 'broker_match_0072_DELL']"
H_d6e57758fe6645e1,3,"['broker_match_0079_FICO', 'broker_match_0080_FICO', 'broker_match_0081_FICO']"
H_f379bba25f01762b,2,"['broker_match_0092_GOOGL', 'broker_match_0093_GOOGL']"
H_c3b103018e6a84fa,2,"['broker_match_0098_HPE', 'broker_match_0099_HPE']"
H_39ea361720d7e224,2,"['broker_match_0112_INTC', 'broker_match_0113_INTC']"
H_d9c10f44d470cbc1,2,"['broker_match_0127_LRCX', 'broker_match_0128_LRCX']"
H_d890012cc1dc8606,3,"['broker_match_0132_MDB', 'broker_match_0133_MDB', 'broker_match_0134_MDB']"
H_4d9c081d314507bc,2,"['broker_match_0136_MDB', 'broker_match_0137_MDB']"
H_203bf20f51d972e9,2,"['broker_match_0139_META', 'broker_match_0140_META']"
H_7676451f049a30e2,2,"['broker_match_0142_MRVL', 'broker_match_0143_MRVL']"
H_da453cd016583ad2,3,"['broker_match_0148_MU', 'broker_match_0149_MU', 'broker_match_0150_MU']"
H_23f752cd3a6ecf3b,2,"['broker_match_0152_MU', 'broker_match_0153_MU']"
H_20a144f960c625d1,2,"['broker_match_0158_NBIS', 'broker_match_0159_NBIS']"
H_ad4086c420fc146c,2,"['broker_match_0160_NBIS', 'broker_match_0161_NBIS']"
H_04774c6d6e2c5f22,2,"['broker_match_0169_PANW', 'broker_match_0170_PANW']"
H_8edb0f05e79101c1,2,"['broker_match_0190_QCOM', 'broker_match_0191_QCOM']"
H_bf12eabe468e005c,2,"['broker_match_0200_RBRK', 'broker_match_0201_RBRK']"
H_d88411111d8760e7,3,"['broker_match_0210_SMCI', 'broker_match_0211_SMCI', 'broker_match_0212_SMCI']"
H_0c659c8add63feaa,3,"['broker_match_0236_TSLA', 'broker_match_0237_TSLA', 'broker_match_0238_TSLA']"
H_126c859bdc68a49e,2,"['broker_open_0077_DELL', 'broker_open_0078_DELL']"
