metric,value
snapshot_id,0288631a317e14a941d9
as_of_utc,2026-07-29T10:18:06.302948+00:00
closed_count,198
open_count,5
quarantined_count,100
closed_quarantine_overlap_count,0
closed_quarantine_overlap_ids,[]
duplicate_trade_id_count,0
duplicate_trade_ids,{}
duplicate_fill_consumption_count,25
duplicate_fill_consumption,"[{""exit_broker_order_id"": ""H_334187d9dd8e39c1"", ""count"": 4, ""trade_ids"": [""broker_match_0010_AMD"", ""broker_match_0011_AMD"", ""broker_match_0012_AMD"", ""broker_match_0013_AMD""]}, {""exit_broker_order_id"": ""H_aeb389f1521fdd0f"", ""count"": 2, ""trade_ids"": [""broker_match_0019_AMZN"", ""broker_match_0020_AMZN""]}, {""exit_broker_order_id"": ""H_003ce7fe01a7d467"", ""count"": 2, ""trade_ids"": [""broker_match_0030_ARM"", ""broker_match_0031_ARM""]}, {""exit_broker_order_id"": ""H_63795d1835a41891"", ""count"": 3, ""trade_ids"": [""broker_match_0050_CRDO"", ""broker_match_0051_CRDO"", ""broker_match_0052_CRDO""]}, {""exit_broker_order_id"": ""H_16aa7dd55bb71202"", ""count"": 2, ""trade_ids"": [""broker_match_0062_CSCO"", ""broker_match_0063_CSCO""]}, {""exit_broker_order_id"": ""H_f0c7a7735fe5fb91"", ""count"": 2, ""trade_ids"": [""broker_match_0071_DELL"", ""broker_match_0072_DELL""]}, {""exit_broker_order_id"": ""H_d6e57758fe6645e1"", ""count"": 3, ""trade_ids"": [""broker_match_0079_FICO"", ""broker_match_0080_FICO"", ""broker_match_0081_FICO""]}, {""exit_broker_order_id"": ""H_f379bba25f01762b"", ""count"": 2, ""trade_ids"": [""broker_match_0092_GOOGL"", ""broker_match_0093_GOOGL""]}, {""exit_broker_order_id"": ""H_c3b103018e6a84fa"", ""count"": 2, ""trade_ids"": [""broker_match_0098_HPE"", ""broker_match_0099_HPE""]}, {""exit_broker_order_id"": ""H_39ea361720d7e224"", ""count"": 2, ""trade_ids"": [""broker_match_0112_INTC"", ""broker_match_0113_INTC""]}, {""exit_broker_order_id"": ""H_d9c10f44d470cbc1"", ""count"": 2, ""trade_ids"": [""broker_match_0127_LRCX"", ""broker_match_0128_LRCX""]}, {""exit_broker_order_id"": ""H_d890012cc1dc8606"", ""count"": 3, ""trade_ids"": [""broker_match_0132_MDB"", ""broker_match_0133_MDB"", ""broker_match_0134_MDB""]}, {""exit_broker_order_id"": ""H_4d9c081d314507bc"", ""count"": 2, ""trade_ids"": [""broker_match_0136_MDB"", ""broker_match_0137_MDB""]}, {""exit_broker_order_id"": ""H_203bf20f51d972e9"", ""count"": 2, ""trade_ids"": [""broker_match_0139_META"", ""broker_match_0140_META""]}, {""exit_broker_order_id"": ""H_7676451f049a30e2"", ""count"": 2, ""trade_ids"": [""broker_match_0142_MRVL"", ""broker_match_0143_MRVL""]}, {""exit_broker_order_id"": ""H_da453cd016583ad2"", ""count"": 3, ""trade_ids"": [""broker_match_0148_MU"", ""broker_match_0149_MU"", ""broker_match_0150_MU""]}, {""exit_broker_order_id"": ""H_23f752cd3a6ecf3b"", ""count"": 2, ""trade_ids"": [""broker_match_0152_MU"", ""broker_match_0153_MU""]}, {""exit_broker_order_id"": ""H_20a144f960c625d1"", ""count"": 2, ""trade_ids"": [""broker_match_0158_NBIS"", ""broker_match_0159_NBIS""]}, {""exit_broker_order_id"": ""H_ad4086c420fc146c"", ""count"": 2, ""trade_ids"": [""broker_match_0160_NBIS"", ""broker_match_0161_NBIS""]}, {""exit_broker_order_id"": ""H_04774c6d6e2c5f22"", ""count"": 2, ""trade_ids"": [""broker_match_0169_PANW"", ""broker_match_0170_PANW""]}, {""exit_broker_order_id"": ""H_8edb0f05e79101c1"", ""count"": 2, ""trade_ids"": [""broker_match_0190_QCOM"", ""broker_match_0191_QCOM""]}, {""exit_broker_order_id"": ""H_bf12eabe468e005c"", ""count"": 2, ""trade_ids"": [""broker_match_0200_RBRK"", ""broker_match_0201_RBRK""]}, {""exit_broker_order_id"": ""H_d88411111d8760e7"", ""count"": 3, ""trade_ids"": [""broker_match_0210_SMCI"", ""broker_match_0211_SMCI"", ""broker_match_0212_SMCI""]}, {""exit_broker_order_id"": ""H_0c659c8add63feaa"", ""count"": 3, ""trade_ids"": [""broker_match_0236_TSLA"", ""broker_match_0237_TSLA"", ""broker_match_0238_TSLA""]}, {""exit_broker_order_id"": ""H_126c859bdc68a49e"", ""count"": 2, ""trade_ids"": [""broker_open_0077_DELL"", ""broker_open_0078_DELL""]}]"
invalid_chronology_count,0
invalid_chronology_ids,[]
missing_holding_days_count,0
missing_holding_days_ids,[]
holding_days_mismatch_count,177
