trade_id,recorded,computed_no_fee
H_d74c8fce6dcf5307,3075.41,3074.14
H_eed378480da8942f,-3795.07,-3796.2
H_49c76fa6664cd3e4,-2648.41,-2640.92
H_9174eedd4b89dd4c,-1306.98,-1310.05
H_72b34b96f72e68ab,-172.37,-170.72
H_e973cc545d4a2232,-425.23,-426.42
H_619f9d07f4f1560b,-1788.39,-1778.75
H_f0f00aa8b6af3b32,1837.33,1839.24
H_fe0e1c2b04df6936,-4098.01,-4096.96
H_37ac213101b23a45,-2459.21,-2460.52
H_c2d0478acf65b160,-4410.1,-4411.52
H_69e1e777cf0a4c9a,-1996.31,-2003.18
H_bfa901d6e5dcc6f0,-3824.68,-3823.11
H_8db1a9f870feacd3,-2887.71,-2889.0
H_6b79a6d5a4827733,-706.75,-707.88
H_9f687af23710f5a5,-4352.46,-4355.4
H_3c160a858b1a1201,-3946.79,-3944.64
