dimension,value,n,wins,losses,gross_profit,gross_loss,net_pnl,profit_factor,win_rate,avg_win,avg_loss,expectancy,avg_return_pct,cvar_5pct_trade_pnl
symbol,AMD,8,4,4,2976.28,-4944.72,-1968.44,0.6019,0.5,744.07,-1236.18,-246.05,0.0495,-2119.45
symbol,AMZN,4,1,3,138.83,-2852.17,-2713.34,0.0487,0.25,138.83,-950.72,-678.34,-0.0384,-1530.44
symbol,ARM,5,2,3,6164.97,-2628.75,3536.22,2.3452,0.4,3082.48,-876.25,707.24,0.092,-2538.67
symbol,ASML,3,3,0,5402.38,0,5402.38,,1.0,1800.79,,1800.79,0.0362,1179.52
symbol,AVGO,2,0,2,0,-1562.37,-1562.37,0.0,0.0,,-781.18,-781.18,-0.0227,-1550.04
symbol,CDNS,2,0,2,0,-5939.77,-5939.77,0.0,0.0,,-2969.89,-2969.89,-0.0578,-4057.11
symbol,CHPS,3,2,1,6662.91,-5295.75,1367.16,1.2582,0.6667,3331.45,-5295.75,455.72,0.0438,-5295.75
symbol,CHPX,3,2,1,7824.74,-5159.55,2665.19,1.5166,0.6667,3912.37,-5159.55,888.4,0.0614,-5159.55
symbol,CRDO,7,3,4,10098.3,-2991.64,7106.66,3.3755,0.4286,3366.1,-747.91,1015.24,0.0418,-2513.88
symbol,CRM,2,0,2,0,-4098.73,-4098.73,0.0,0.0,,-2049.37,-2049.37,-0.0435,-3795.07
symbol,CRWD,4,3,1,1815.57,-3643.72,-1828.15,0.4983,0.75,605.19,-3643.72,-457.04,0.0686,-3643.72
symbol,CSCO,2,2,0,365.72,0,365.72,,1.0,182.86,,182.86,0.0679,83.22
symbol,DDOG,5,3,2,5275.24,-5138.29,136.95,1.0267,0.6,1758.41,-2569.14,27.39,0.0385,-3126.0
symbol,DELL,9,3,6,6485.9,-9247.63,-2761.73,0.7014,0.3333,2161.97,-1541.27,-306.86,0.1519,-2616.48
symbol,FICO,4,0,4,0,-4704.54,-4704.54,0.0,0.0,,-1176.13,-1176.13,-0.0476,-3205.96
symbol,FRWD,2,1,1,5765.34,-2648.41,3116.93,2.1769,0.5,5765.34,-2648.41,1558.47,0.022,-2648.41
symbol,FTNT,4,1,3,183.6,-3769.48,-3585.88,0.0487,0.25,183.6,-1256.49,-896.47,-0.0136,-3594.12
symbol,FTXL,2,1,1,4110.81,-5891.35,-1780.54,0.6978,0.5,4110.81,-5891.35,-890.27,-0.0306,-5891.35
symbol,GOOGL,3,0,3,0,-2822.11,-2822.11,0.0,0.0,,-940.7,-940.7,-0.0566,-1182.21
symbol,GTOP,3,2,1,1966.95,-1306.98,659.97,1.505,0.6667,983.48,-1306.98,219.99,0.0166,-1306.98
symbol,HPE,5,2,3,3338.45,-3664.3,-325.85,0.9111,0.4,1669.22,-1221.43,-65.17,0.2647,-3066.7
symbol,HPQ,3,1,2,181.48,-4768.11,-4586.63,0.0381,0.3333,181.48,-2384.05,-1528.88,-0.0366,-2979.72
symbol,IBM,3,0,3,0,-8513.13,-8513.13,0.0,0.0,,-2837.71,-2837.71,-0.064,-4382.52
symbol,INTC,6,3,3,3749.46,-5041.55,-1292.09,0.7437,0.5,1249.82,-1680.52,-215.35,-0.0048,-4098.01
symbol,KLAC,6,2,4,1152.91,-40826.45,-39673.54,0.0282,0.3333,576.46,-10206.61,-6612.26,-0.1482,-39341.89
symbol,LRCX,7,5,2,12830.39,-4264.6,8565.79,3.0086,0.7143,2566.08,-2132.3,1223.68,0.053,-2616.84
symbol,MDB,6,0,6,0,-6005.02,-6005.02,0.0,0.0,,-1000.84,-1000.84,-0.062,-3773.69
symbol,META,4,1,3,386.01,-4621.17,-4235.16,0.0835,0.25,386.01,-1540.39,-1058.79,-0.0385,-1936.48
symbol,MRVL,4,4,0,3976.3,0,3976.3,,1.0,994.07,,994.07,0.0732,103.34
symbol,MU,8,6,2,19186.14,-2753.76,16432.38,6.9673,0.75,3197.69,-1376.88,2054.05,0.1306,-1910.25
symbol,NBIS,6,2,4,5626.97,-4659.18,967.79,1.2077,0.3333,2813.49,-1164.8,161.3,0.0209,-2469.09
symbol,NOW,3,1,2,1174.74,-5883.36,-4708.62,0.1997,0.3333,1174.74,-2941.68,-1569.54,0.0634,-3424.15
symbol,NVDA,1,0,1,0,-99.53,-99.53,0.0,0.0,,-99.53,-99.53,-0.028,-99.53
symbol,ORCL,3,1,2,856.34,-9162.1,-8305.76,0.0935,0.3333,856.34,-4581.05,-2768.59,0.0187,-4752.0
symbol,PANW,5,4,1,7263.92,-2893.88,4370.04,2.5101,0.8,1815.98,-2893.88,874.01,0.0949,-2893.88
symbol,PATH,3,1,2,439.96,-4642.31,-4202.35,0.0948,0.3333,439.96,-2321.15,-1400.78,-0.0393,-2646.0
symbol,PLTR,2,0,2,0,-6712.39,-6712.39,0.0,0.0,,-3356.19,-3356.19,-0.0803,-3824.68
symbol,PSCT,4,2,2,5812.77,-878.11,4934.66,6.6196,0.5,2906.39,-439.06,1233.67,0.0237,-706.75
symbol,QCOM,4,2,2,815.24,-2990.16,-2174.92,0.2726,0.5,407.62,-1495.08,-543.73,0.0192,-2943.16
symbol,QTEC,2,1,1,6587.28,-2186.67,4400.61,3.0125,0.5,6587.28,-2186.67,2200.3,0.0421,-2186.67
symbol,RBRK,5,2,3,472.93,-5354.87,-4881.94,0.0883,0.4,236.47,-1784.96,-976.39,-0.0064,-4352.46
symbol,SHOC,2,1,1,557.55,-4794.78,-4237.23,0.1163,0.5,557.55,-4794.78,-2118.61,-0.0207,-4794.78
symbol,SKYY,3,2,1,4439.04,-2129.39,2309.65,2.0847,0.6667,2219.52,-2129.39,769.88,0.0627,-2129.39
symbol,SMCI,5,3,2,1854.59,-5975.68,-4121.09,0.3104,0.6,618.2,-2987.84,-824.22,0.1673,-3655.45
symbol,SMH,4,3,1,4707.36,-4458.86,248.5,1.0557,0.75,1569.12,-4458.86,62.12,0.0161,-4458.86
