path,object_path,reason
data/raw/finnhub/finnhub_mdb_news_2026-07-21_030353166544.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_mdb_news_2026-07-21_030353166544.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_mdb_news_2026-07-24_070354566995.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_mdb_news_2026-07-24_070354566995.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_mdb_news_2026-07-07_030352932822.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_mdb_news_2026-07-07_030352932822.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_mdb_news_2026-07-20_030353534178.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_mdb_news_2026-07-20_030353534178.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_tsm_news_2026-05-29_190437676325.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_tsm_news_2026-05-29_190437676325.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_nvda_news_2026-06-04_150339949568.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_nvda_news_2026-06-04_150339949568.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_crwd_news_2026-06-10_150755233525.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_crwd_news_2026-06-10_150755233525.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_rbrk_news_2026-05-13_191134083837.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_rbrk_news_2026-05-13_191134083837.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_cdns_news_2026-06-29_070409308585.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_cdns_news_2026-06-29_070409308585.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_intc_news_2026-06-10_150454695140.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_intc_news_2026-06-10_150454695140.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_mdb_news_2026-06-24_230354506197.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_mdb_news_2026-06-24_230354506197.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_msft_news_2026-06-04_190350337777.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_msft_news_2026-06-04_190350337777.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_mdb_news_2026-07-22_190353759201.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_mdb_news_2026-07-22_190353759201.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_rbrk_news_2026-05-14_070716343642.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_rbrk_news_2026-05-14_070716343642.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_mdb_news_2026-06-29_150355324162.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_mdb_news_2026-06-29_150355324162.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_tsm_news_2026-05-27_110406486349.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_tsm_news_2026-05-27_110406486349.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_rbrk_news_2026-05-05_231909706917.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_rbrk_news_2026-05-05_231909706917.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_fico_news_2026-07-20_030356722270.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_fico_news_2026-07-20_030356722270.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_rbrk_news_2026-05-14_031415535872.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_rbrk_news_2026-05-14_031415535872.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_snow_news_2026-07-07_110353191437.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_snow_news_2026-07-07_110353191437.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_rbrk_news_2026-06-22_150411503071.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_rbrk_news_2026-06-22_150411503071.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_path_news_2026-06-08_190710594360.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_path_news_2026-06-08_190710594360.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_amzn_news_2026-06-08_190335554238.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_amzn_news_2026-06-08_190335554238.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_aapl_news_2026-04-21_072333309712.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_aapl_news_2026-04-21_072333309712.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_snow_news_2026-07-11_190351943898.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_snow_news_2026-07-11_190351943898.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_rbrk_news_2026-05-18_231311901118.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_rbrk_news_2026-05-18_231311901118.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_rbrk_news_2026-05-19_174247651890.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_rbrk_news_2026-05-19_174247651890.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_qcom_news_2026-05-27_110541779853.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_qcom_news_2026-05-27_110541779853.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_tsla_news_2026-06-04_190437996413.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_tsla_news_2026-06-04_190437996413.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_snow_news_2026-05-27_150659331637.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_snow_news_2026-05-27_150659331637.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_mdb_news_2026-05-26_110358507634.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_mdb_news_2026-05-26_110358507634.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_rbrk_news_2026-05-06_150342862022.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_rbrk_news_2026-05-06_150342862022.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_snow_news_2026-06-23_110352463295.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_snow_news_2026-06-23_110352463295.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_rbrk_news_2026-05-14_131326175821.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_rbrk_news_2026-05-14_131326175821.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_crdo_news_2026-07-28_190415279772.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_crdo_news_2026-07-28_190415279772.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_amat_news_2026-06-04_190613264383.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_amat_news_2026-06-04_190613264383.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_snow_news_2026-07-13_150354442379.json,payload.news[0].source,source=synthetic
data/raw/finnhub/finnhub_snow_news_2026-07-13_150354442379.json,payload.news[0].url,example.local
data/raw/finnhub/finnhub_rbrk_news_2026-05-20_070344378491.json,payload.news[0].source,source=synthetic
