original_path,delivered_part,content_start_line,content_end_line,original_extension,size_bytes_original,sha256_original,encoding,redaction_status,conversion_status,omission_reason
00_CONTROL/ACCEPTANCE_MATRIX.csv,stock_swing_post_fix_retest_mail_safe_part_001.txt,1,25,.csv,2780,e610a8e1b294aed02a008a976cb94580db6c1c95626474916718b7a0847abb5b,utf-8,clean,BUNDLED,
00_CONTROL/ACCEPTANCE_MATRIX.json,stock_swing_post_fix_retest_mail_safe_part_001.txt,26,186,.json,5212,a52a21b92663c97a1103947aaa9d119d43c458d9457974628139a4f7075443ef,utf-8,clean,BUNDLED,
00_CONTROL/CHECKSUMS.sha256,stock_swing_post_fix_retest_mail_safe_part_001.txt,187,2580,.sha256,335999,69b0da348f480681f2dc854b9b67253289d5f309aea2b4eb648f67c9aa9c30fc,utf-8,clean,BUNDLED,
00_CONTROL/EXPORT_VALIDATION.json,stock_swing_post_fix_retest_mail_safe_part_001.txt,2581,9681,.json,636776,ec9e31fdb325dc737dd69e0a492b6834035db043165a7ddb0af0ef9adba0d7bc,utf-8,clean,BUNDLED,
00_CONTROL/GENERATION_LOG.txt,stock_swing_post_fix_retest_mail_safe_part_001.txt,9682,9692,.txt,181,76441b42f0723b7d61b0f08863e127792ad0f3727cfae69d233fca92bac9c86f,utf-8,clean,BUNDLED,
00_CONTROL/MISSING_DATA.csv,stock_swing_post_fix_retest_mail_safe_part_001.txt,9693,9706,.csv,1173,d97fd527af824c5431fe55f5ea477f42e343863f3148f2e664b917822086c7ae,utf-8,clean,BUNDLED,
00_CONTROL/RETEST_MANIFEST.json,stock_swing_post_fix_retest_mail_safe_part_001.txt,9707,9757,.json,1683,98636695df13d4d0e409b777dcb1bdb915d37bab13d0688bf10f47d4dd5ae3a2,utf-8,clean,BUNDLED,
00_CONTROL/RETEST_RESULT.json,stock_swing_post_fix_retest_mail_safe_part_001.txt,9758,9874,.json,4344,ee717c0dd7ceee8bb8543de9a6195d755bf7fc543c676f9ae690b9616b50ca2a,utf-8,clean,BUNDLED,
00_CONTROL/RETEST_RESULT.md,stock_swing_post_fix_retest_mail_safe_part_001.txt,9875,9929,.md,4531,f84245ba8e3f96c35e9cc665d4c046dfa269e19f32e3de15067fbd53eab5a4fc,utf-8,clean,BUNDLED,
00_CONTROL/ZIP_ROUNDTRIP.json,stock_swing_post_fix_retest_mail_safe_part_001.txt,9930,9945,.json,280,e5418be0268a2ffaaa70c559c7f251a91b1a0ec7287d1cff058b800558d23d77,utf-8,clean,BUNDLED,
00_CONTROL/environment_start.json,stock_swing_post_fix_retest_mail_safe_part_001.txt,9946,10051,.json,6957,19feabfaea85fa0bd668ee8ee16ec90b1d7b360afe01ed59c69cc9f0c03b455e,utf-8,clean,BUNDLED,
01_SOURCE/changed_files/config/strategy/simple_exit_v2.yaml,stock_swing_post_fix_retest_mail_safe_part_001.txt,10052,10131,.yaml,3860,9e2754359e3e4c5fd7ecdefe7d7ded9180f9739f5b6527ed4b7889926afd3544,utf-8,clean,BUNDLED,
01_SOURCE/changed_files/console/app.py,stock_swing_post_fix_retest_mail_safe_part_001.txt,10132,10696,.py,22339,aa459a1bbae221c14e57d3be7bc8fb2132f8bd681d98c6ffef26e901c41c7559,utf-8,clean,BUNDLED,
01_SOURCE/changed_files/data/tracking/pnl_state.json,stock_swing_post_fix_retest_mail_safe_part_001.txt,10697,21619,.json,377761,49724cdf932d2aa5f5920953d06d993692e5a134a104cc3392805bf134d65565,utf-8,clean,BUNDLED,
