original_path,delivered_part,content_start_line,content_end_line,original_extension,size_bytes_original,sha256_original,encoding,redaction_status,conversion_status,omission_reason
00_CONTROL/ACCEPTANCE_MATRIX.csv,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,1,37,.csv,2330,63b5bce4594b8c7d0bfb303bd4e7045680ba2fdaab747aa97b7963180049944f,utf-8,clean,delivered_in_bundle,
00_CONTROL/CHECKSUMS.sha256,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,38,75,.sha256,2666,903fc2563603eca01e6d9417101d6a3b7b60b8171fcee837ec07d5ff149bec60,utf-8,clean,delivered_in_bundle,
00_CONTROL/GENERATION_LOG.txt,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,76,99,.txt,478,94d892cc02c55a37353c5848bd6ab2a4e449105429c4c183e51028132bd2f55b,utf-8,clean,delivered_in_bundle,
00_CONTROL/MISSING_DATA.csv,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,100,116,.csv,1036,11781a5a0479c5b1685fa0a6afbe5c969fb0b936f5bc60c7d29a1145e3665add,utf-8,clean,delivered_in_bundle,
00_CONTROL/RETEST_RESULT.md,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,117,173,.md,1997,e392235ebe274629b780c44183a633865b4f818b2c6e46efb44513a8db01f674,utf-8,clean,delivered_in_bundle,
00_CONTROL/git_commit.txt,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,174,205,.txt,1376,53d2e5b55171309aea1ce06179656827a134ce024c26f5a96978d426b7b99396,utf-8,clean,delivered_in_bundle,
01_SOURCE/env_versions.txt,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,206,218,.txt,28,96e9aac5c4292b233e5774e24ed774da89ab2d8701597294fc65e95b4779009b,utf-8,clean,delivered_in_bundle,
02_TESTS/batch_ab_tests_verbose.txt,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,219,282,.txt,5120,cecd44c912a2127be68f3efcf90b6c89a2c190d8d83975929c81170475b7c8a9,utf-8,clean,delivered_in_bundle,
02_TESTS/coverage.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,283,293,.json,623777,c1f410bd1c27c65799e37da3c045921000867f3c86f90dbbd79345de091eb2a9,utf-8,clean,delivered_in_bundle,
02_TESTS/junit.xml,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,294,304,.xml,146841,88742bb7ed3211c5d10b74f5a33f4aa6ea7ff6702ec345e53e6aaebb273e9e48,utf-8,clean,delivered_in_bundle,
02_TESTS/pytest_output.txt,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,305,369,.txt,5226,79576e0ed35fc847c29005901991088798d260e23ecc8447f9e284c3c1daa896,utf-8,clean,delivered_in_bundle,
02_TESTS/test_commands.txt,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,370,382,.txt,86,aa7d622d219b45535706fa110819421253ab1eac1ebcc316e0d1e6597beb0618,utf-8,clean,delivered_in_bundle,
04_LEDGER/closed_trades.csv,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,383,591,.csv,26310,f2b17a278aedfb51c5b7a4733d771ee5b0975ec065146771786bc864f833a0d4,utf-8,clean,delivered_in_bundle,
04_LEDGER/fill_ledger_status.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,592,603,.json,53,9d2b7458aa5a2ed7bec39664875c42f5439e3ef78161724a4bffab5ea6138241,utf-8,clean,delivered_in_bundle,
04_LEDGER/klac_split_investigation.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,604,813,.json,7614,ef023ad845fb1e5a587fa973874d2761a226cffde371095fe459e44dc36df390,utf-8,clean,delivered_in_bundle,
04_LEDGER/ledger_invariants.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,814,841,.json,469,c52c1fa62fd9ea96d13cf5379defadc18dd1d33856e45766c2b0ed7813787486,utf-8,clean,delivered_in_bundle,
04_LEDGER/p6_join_coverage_status.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,842,853,.json,56,61359e724048513f9a67e9f3a2151c88b35429195f63c5cdd474e38d367d6790,utf-8,clean,delivered_in_bundle,
05_PERFORMANCE/performance_by_window.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,854,909,.json,1080,a183579e603add20019a408279dabcdc6eec8d5db6a5147a333fa703bc3b63e6,utf-8,clean,delivered_in_bundle,
06_GUARDRAILS/circuit_breaker.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,910,920,.json,605,ed3688a5823272c4c804eec698f6345e4df39c890358652eb1f04a4dd7b1af02,utf-8,clean,delivered_in_bundle,
06_GUARDRAILS/day_start_snapshot.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,921,932,.json,30,2fc32054c3e70f4fd29d4506bf4e122bd26c84005a00a8e909f8837028c6b917,utf-8,clean,delivered_in_bundle,
06_GUARDRAILS/reconcile_status.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,933,950,.json,204,9aba0b3e36170a44a6e5529df633acbb91476c613a5e0843790672fe3343b3c0,utf-8,clean,delivered_in_bundle,
07_DATA/legacy_synthetic_quarantine.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,951,1539,.json,40395,e37ea6f7d9ac8ba43240c4b4c2ca6f218aabbdb38b962e6fb40157f857a5fafc,utf-8,clean,delivered_in_bundle,
07_DATA/news_collection_status.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,1540,2039,.json,11291,73a59299905d17de84326836fc45df185067524ce4b4ff2cfdb3557046bd203e,utf-8,clean,delivered_in_bundle,
08_CONSOLE/api_guardrail_status.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,2040,2051,.json,34,98fa93993557db83802e6b9bdf41d8ca6c1777e34af680686677e85901fff7db,utf-8,clean,delivered_in_bundle,
08_CONSOLE/api_summary.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,2052,2063,.json,34,98fa93993557db83802e6b9bdf41d8ca6c1777e34af680686677e85901fff7db,utf-8,clean,delivered_in_bundle,
09_AI_USAGE/ai_usage_summary.json,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,2064,2086,.json,270,9e83d13246a192f68f5938a704e686913675a8b96d7230bce7e2013262f4dc6e,utf-8,clean,delivered_in_bundle,
10_ROADMAP/console_improvement_tasks.md,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,2087,2799,.md,35086,7852071fe5a2d34222e8cc0169833db869736db28cec01066f8964cea0b2ed9b,utf-8,clean,delivered_in_bundle,
10_ROADMAP/go_no_go_report_20260731.md,stock_swing_post_fix_retest_mail_safe_20260729_batchab_part_001.txt,2800,2956,.md,6501,b7c7bd74baac234c67d8508a73afdcc3b847b6ef77d95f95ebdd1b3984dee15a,utf-8,clean,delivered_in_bundle,
