original_path,delivered_part,content_start_line,content_end_line,original_extension,size_bytes_original,sha256_original,encoding,redaction_status,conversion_status,omission_reason
.DS_Store,stock_swing_review_export_mail_safe_part_001.txt,1,12,,6148,1b7b2ca54f83b1bd7e403ad19e0a3976ad4c5814bf97d86510be9a96bc6a0fbb,utf-8,clean,delivered_in_bundle,
00_control/CHECKSUMS.sha256,stock_swing_review_export_mail_safe_part_001.txt,13,541,.sha256,68235,b1fd7be881ad7e2aca0243146f66f049824118d0200c356034dc761a2efa4a92,utf-8,clean,delivered_in_bundle,
00_control/DATA_DICTIONARY.md,stock_swing_review_export_mail_safe_part_001.txt,542,606,.md,2300,a1fc9999c91d5001a088d4648ffe66fd7ae4f930d73c5d4f8e066069214d71c6,utf-8,clean,delivered_in_bundle,
00_control/EXPORT_MANIFEST.json,stock_swing_review_export_mail_safe_part_001.txt,607,2305,.json,63923,b9ba4f91f0c96800f6135a6363b0292f6f9a778e72e7cd1a8ac4c6722b644f3c,utf-8,clean,delivered_in_bundle,
00_control/EXPORT_VALIDATION.json,stock_swing_review_export_mail_safe_part_001.txt,2306,2339,.json,772,d0e06cc3f1006691f783d530dd306b978dbf01aef3390536353dc0897da8e9b1,utf-8,clean,delivered_in_bundle,
00_control/GENERATION_LOG.txt,stock_swing_review_export_mail_safe_part_001.txt,2340,2439,.txt,4784,a47c26d642d07bb1dc020e9b2a50517389cfb973b0571c6a9ae854dabfc17f2c,utf-8,clean,delivered_in_bundle,
00_control/MISSING_DATA.csv,stock_swing_review_export_mail_safe_part_001.txt,2440,2451,.csv,89,050d870ae8c86c2dda9892e4021449a45d22adeea9d364ede9d9eee9f7cca583,utf-8,clean,delivered_in_bundle,
00_control/REDACTION_REPORT.md,stock_swing_review_export_mail_safe_part_001.txt,2452,2482,.md,774,1cb582423332e1f195fc9fe9808302960a2f4ca6b3eeae34a60d877a52e2e2fd,utf-8,redacted,delivered_in_bundle,
00_control/REVIEW_INDEX.md,stock_swing_review_export_mail_safe_part_001.txt,2483,2530,.md,1679,7db12ac274ab76eeb0b62707ec7ec82b753fc366b38105821a6ecac003e1d2d7,utf-8,clean,delivered_in_bundle,
00_control/SOURCE_INVENTORY.csv,stock_swing_review_export_mail_safe_part_001.txt,2531,3306,.csv,122840,159cb9ece18a5f82f519d7d4e3a128d572cf45ee02c371e2873be227e4f57ad2,utf-8,clean,delivered_in_bundle,
01_context_and_roadmap/2026-07-22.md,stock_swing_review_export_mail_safe_part_001.txt,3307,3552,.md,8784,069737f7123594b20d2d469d4d24dce85258f0bb90d4890078f29b84e9e0bc3b,utf-8,clean,delivered_in_bundle,
01_context_and_roadmap/2026-07-23.md,stock_swing_review_export_mail_safe_part_001.txt,3553,3674,.md,4591,0428d3db6a11f2b79102a0c2fb8df53428dcccca8ab8e36f596e4c45f2a53ef7,utf-8,clean,delivered_in_bundle,
01_context_and_roadmap/2026-07-25.md,stock_swing_review_export_mail_safe_part_001.txt,3675,3783,.md,3411,cbc9efc8373e38b1856fcf0f591b5f9e8ba91841ea2402aa7821bcbce620a774,utf-8,clean,delivered_in_bundle,
01_context_and_roadmap/2026-07-27.md,stock_swing_review_export_mail_safe_part_001.txt,3784,3878,.md,3158,777e7a0620900ec624c39b4c818b3d8ad92fb19d4bffdb3997251d30f2001bfc,utf-8,clean,delivered_in_bundle,
01_context_and_roadmap/2026-07-28.md,stock_swing_review_export_mail_safe_part_001.txt,3879,4053,.md,7413,b4318c174092977afb21d068b417129c8d7cc9d3a3592722de4ac1fbbff9c6dd,utf-8,clean,delivered_in_bundle,
01_context_and_roadmap/2026-07-29.md,stock_swing_review_export_mail_safe_part_001.txt,4054,4179,.md,4060,6156e803922b381c8f1cc63de671d1ee41bccfceb347600b00b8bb5f9d5662fe,utf-8,clean,delivered_in_bundle,
01_context_and_roadmap/AGENTS.md,stock_swing_review_export_mail_safe_part_001.txt,4180,4282,.md,4023,cbbc64617d5f35302dd8ed3c759335a8b3510e8cc4ee2dfc8e2b677613eb49be,utf-8,clean,delivered_in_bundle,
01_context_and_roadmap/GOVERNANCE.md,stock_swing_review_export_mail_safe_part_001.txt,4283,4441,.md,4437,627cc8716ba89f48f8b860d83db9b06343ff7f9aa64978976feb3988e560524e,utf-8,clean,delivered_in_bundle,
01_context_and_roadmap/STATUS.md,stock_swing_review_export_mail_safe_part_001.txt,4442,4755,.md,7041,a3b8053ff576566e06787815a4df814d1bc31e0c040fb8a1dfd702ef66596ab2,utf-8,clean,delivered_in_bundle,
01_context_and_roadmap/codex reviews/stock_swing_codex_fix_instructions_20260721.md,stock_swing_review_export_mail_safe_part_001.txt,4756,5144,.md,16208,5795e890361dd1bba59f0c6a3bdc354f4e56875711fdaac7d5232a10a65d9d78,utf-8,clean,delivered_in_bundle,
01_context_and_roadmap/codex reviews/stock_swing_codex_review_report_20260721.md,stock_swing_review_export_mail_safe_part_001.txt,5145,5464,.md,19176,558ee3daa188420685b0fa7f26b2879036736819126ec753bdf3a4c74f0d69ab,utf-8,clean,delivered_in_bundle,
01_context_and_roadmap/codex reviews/stock_swing_improvement_plan_merge_prompt_20260721.md,stock_swing_review_export_mail_safe_part_001.txt,5465,5614,.md,5355,c63df46474f65859271d0d36469da34c8284d24b29549c59a37119570092c1ca,utf-8,clean,delivered_in_bundle,
01_context_and_roadmap/codex reviews/stock_swing_improvement_plan_merge_spec_20260721.md,stock_swing_review_export_mail_safe_part_001.txt,5615,5793,.md,8340,2517bdee662970956f6569e54d086b6642f7a73c9923e514adfdd3b9c8d8ccdb,utf-8,clean,delivered_in_bundle,
